	0-1	1-3	3-5	5-7	7-10	10-15
0	0.229708415751571	5.04118573828015	18.7252255117657	40.3732167949586	75.0337794111981	98.1199776975338
4	1.03848047794035	11.2156489948624	36.9189651877369	69.5050293289887	94.2887923670737	99.5690991713446
8	1.98876235308238	15.7395291557045	50.2517361365188	82.7210837825858	98.1274575765956	99.8507462686567
12	2.96662955168778	20.1172066259938	59.2150812437129	89.5580794512291	99.1918348588557	99.8449612403101
16	3.91959144756257	23.891190373017	66.6585342006463	93.1974662522535	99.6167818804181	99.8507462686567
20	4.93973395416817	27.3909365271134	72.3622727434663	95.6981834783486	99.7042582045745	100
24	6.31193988956215	30.7932102949869	77.2392518852602	97.1445594383177	99.7174762648604	100
28	8.27339608700655	34.1528047696864	80.7713946314771	97.889929060908	99.7997695853936	100
32	8.23731068491729	37.361996067404	84.6172778047453	98.6564274460046	99.894117585216	100
36	9.96340842731731	41.274747973942	87.6061184294159	98.9641593808753	99.8636610038897	100
40	12.5968446008865	44.9398438209187	89.9563297560235	99.2299785300128	99.8889345815927	100
44	17.4474190784418	49.0745508522985	92.2064151700466	99.3450650132413	99.9136870568403	100
