Sample	Gene	Cohort	Expression	Threshold	Exceeds threshold	Percent difference	Mean Accuracy	Minimum Accuracy	Maximum Accuracy	Sample 1 Accuracy	Sample 2 Accuracy	Sample 3 Accuracy	Sample 4 Accuracy	Sample 5 Accuracy
TH34_1162_S02	JAK1	Pan-cancer	8.02419776489	7.6884593963623	TRUE	4.184073951875009	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S02	JAK1	Same Disease	8.02419776489	12.1346679329872	FALSE	51.22593296594242	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S02	JAK1	Inferred Disease	8.02419776489	12.1346679329872	FALSE	51.22593296594242	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S02	JAK1	First Degree	8.02419776489	10.6442196369171	FALSE	32.651511699911566	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S02	JAK1	First & Second Degree	8.02419776489	7.32217907905579	TRUE	8.748770985006168	NaN	Inf	-Inf	NA	NA	NA	NA	NA
