Sample	Gene	Cohort	Expression	Threshold	Exceeds Threshold	Percent Difference	Mean Accuracy	Minimum Accuracy	Maximum Accuracy	Sample 1 Accuracy	Sample 2 Accuracy	Sample 3 Accuracy	Sample 4 Accuracy	Sample 5 Accuracy
TH34_1455_S01	IGF2	Pan-cancer	12.690070017	9.74497443437576	TRUE	23.20787496585048	100	100	100	100	100	100	100	100
TH34_1455_S01	IGF2	Same Disease	12.690070017	15.1336274147034	FALSE	19.255665212484534	100	100	100	100	100	100	100	100
TH34_1455_S01	IGF2	Inferred Disease	12.690070017	5.19848585128784	TRUE	59.03501048990437	100	100	100	100	100	100	100	100
TH34_1455_S01	IGF2	First Degree	12.690070017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TH34_1455_S01	IGF2	First & Second Degree	12.690070017	6.16161572933197	TRUE	51.44537641575118	100	100	100	100	100	100	100	100
