Sample	Gene	Cohort	Expression	Threshold	Exceeds Threshold	Percent Difference	Mean Accuracy	Minimum Accuracy	Maximum Accuracy	Sample 1 Accuracy	Sample 2 Accuracy	Sample 3 Accuracy	Sample 4 Accuracy	Sample 5 Accuracy
TH34_1455_S01	ERBB2	Pan-cancer	7.44086916761	9.71962523460388	FALSE	30.62486405369515	100	100	100	100	100	100	100	100
TH34_1455_S01	ERBB2	Same Disease	7.44086916761	10.706369638443	FALSE	43.886008439009764	100	100	100	100	100	100	100	100
TH34_1455_S01	ERBB2	Inferred Disease	7.44086916761	5.03038594126701	TRUE	32.39518357392695	100	100	100	100	100	100	100	100
TH34_1455_S01	ERBB2	First Degree	7.44086916761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TH34_1455_S01	ERBB2	First & Second Degree	7.44086916761	6.89207243919373	TRUE	7.375438487820405	100	100	100	100	100	100	100	100
