Sample	Gene	Cohort	Expression	Threshold	Exceeds threshold	Percent difference	Mean Accuracy	Minimum Accuracy	Maximum Accuracy	Sample 1 Accuracy	Sample 2 Accuracy	Sample 3 Accuracy	Sample 4 Accuracy	Sample 5 Accuracy
TH34_1162_S01	JAK1	Pan-cancer	7.77445763957	7.68738114833832	TRUE	1.1200330012537836	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S01	JAK1	Same Disease	7.77445763957	12.150110244751	FALSE	56.2824161895236	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S01	JAK1	Inferred Disease	7.77445763957	12.150110244751	FALSE	56.2824161895236	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S01	JAK1	First Degree	7.77445763957	14.0535972118378	FALSE	80.76627159570062	NaN	Inf	-Inf	NA	NA	NA	NA	NA
TH34_1162_S01	JAK1	First & Second Degree	7.77445763957	7.41545575857162	TRUE	4.617709654383498	NaN	Inf	-Inf	NA	NA	NA	NA	NA
