gene	measurement	outlier_threshold1	percent_accurate_mean1	outlier_threshold2	percent_accurate_mean2	outlier_threshold3	percent_accurate_mean3	outlier_threshold4	percent_accurate_mean4
CNOT7	7.10129288755	7.48109465837479	NA	6.48837089538574	NA	NA	NA	6.93557715415955	NA
COA1	6.95942242009	6.92538022994995	NA	6.64994859695435	NA	NA	NA	6.82783937454224	NA
COL2A1	5.76765479824	11.8614951847121	NA	1.22324105352163	NA	NA	NA	3.30117172002792	NA
COPS3	7.72764822227	7.56162160634995	NA	6.86135423183441	NA	NA	NA	7.09564638137817	NA
COPS7B	6.39454843917	6.4163733124733	NA	6.08939945697784	NA	NA	NA	6.12179970741272	NA
CPSF2	6.02214584287	6.03849178552628	NA	5.8835774064064	NA	NA	NA	5.93379366397858	NA
CPSF3	7.26425492037	6.51578092575073	NA	5.83630359172821	NA	NA	NA	6.2234525680542	NA
CRABP2	9.85321597215	13.4733803272247	NA	5.40419256687164	NA	NA	NA	8.2483286857605	NA
CTPS1	6.41193462479	7.06776696443558	NA	5.92471408843994	NA	NA	NA	6.3170964717865	NA
CTSL	8.2630813678	11.1661690473557	NA	8.13536953926086	NA	NA	NA	8.0284161567688	NA
CXorf56	5.84423498776	5.47932833433151	NA	5.02864617109299	NA	NA	NA	5.12688195705414	NA
CYCS	8.85735900976	7.95882791280746	NA	8.47497856616974	NA	NA	NA	8.32485842704773	NA
DACT1	6.63749432521	7.27343645691872	NA	4.33375513553619	NA	NA	NA	5.06658905744553	NA
DAZAP1	6.69905184402	7.2963604927063	NA	6.23930871486664	NA	NA	NA	6.46405529975891	NA
DBNL	7.67969121016	7.84620529413223	NA	7.46587300300598	NA	NA	NA	7.43898487091064	NA
DDX10	5.75435307169	6.43694949150085	NA	5.02518612146378	NA	NA	NA	5.51991820335388	NA
DDX18	6.63865311647	6.72815299034119	NA	6.24646723270416	NA	NA	NA	6.41738247871399	NA
DDX19A	6.12515513132	6.01428598165512	NA	5.96557402610779	NA	NA	NA	6.04217672348022	NA
DDX19B	6.07103324446	6.11007887125015	NA	5.94635879993439	NA	NA	NA	5.91257047653198	NA
DDX27	6.17132694023	6.65240639448166	NA	5.73685598373413	NA	NA	NA	5.96657800674438	NA
DDX5	10.1559945647	10.3256099820137	NA	9.78945541381836	NA	NA	NA	9.84363865852356	NA
DDX56	7.29865831556	7.58347314596176	NA	7.29351496696472	NA	NA	NA	7.29247951507568	NA
DES	8.09645162448	20.5186583697796	NA	5.50215236097574	NA	NA	NA	7.39571748673916	NA
DFFA	5.83238371655	5.61562469601631	NA	5.41743355989456	NA	NA	NA	5.54464173316956	NA
DHX16	5.85374619701	5.58287596702576	NA	5.3476499915123	NA	NA	NA	5.47076797485352	NA
DKC1	7.39248916197	6.96512693166733	NA	6.23662805557251	NA	NA	NA	6.5344545841217	NA
DMKN	7.30122180533	9.59542499482632	NA	5.36825653910637	NA	NA	NA	6.88939720392227	NA
DNAAF5	5.95093492831	5.90428403019905	NA	5.78211259841919	NA	NA	NA	6.02060890197754	NA
DNAJC11	6.38335869539	6.19378954172134	NA	5.88673436641693	NA	NA	NA	5.92550563812256	NA
DNAJC2	6.33360262827	6.18410390615463	NA	5.46446323394775	NA	NA	NA	6.1150666475296	NA
DNAJC7	7.62197858435	7.53494429588318	NA	7.23499250411987	NA	NA	NA	7.43669581413269	NA
DNMT3A	6.54966917073	8.02168565988541	NA	4.75318723917007	NA	NA	NA	6.05551278591156	NA
DPAGT1	5.99864683901	6.16888970136642	NA	5.82497298717499	NA	NA	NA	5.97058367729187	NA
DUS1L	7.51538446064	7.58089882135391	NA	7.080038189888	NA	NA	NA	7.14774417877197	NA
DUXAP8	6.31867837374	9.57719081640244	NA	5.39379227161407	NA	NA	NA	6.11675614118576	NA
DUXAP9	6.32282949763	8.29802304506302	NA	4.12178882956505	NA	NA	NA	4.50632399320602	NA
EAPP	6.42240121558	6.28146958351135	NA	6.41521620750427	NA	NA	NA	6.5753915309906	NA
EBNA1BP2	7.09117089003	7.03103125095367	NA	6.97626292705536	NA	NA	NA	6.96700572967529	NA
ECHDC1	6.99435343686	6.61161661148071	NA	6.44140887260437	NA	NA	NA	6.55850625038147	NA
EDC4	6.80271021929	7.17268621921539	NA	6.49814963340759	NA	NA	NA	6.54995465278625	NA
EEF1E1	6.30724635523	5.97439774870872	NA	5.70240998268127	NA	NA	NA	5.92203688621521	NA
EIF2B4	6.44956137461	6.60552877187729	NA	6.25757098197937	NA	NA	NA	6.26545119285583	NA
EIF3B	8.98093926609	8.18407201766968	NA	7.80977582931519	NA	NA	NA	7.83857870101929	NA
EIF3G	8.78398041368	9.10911482572556	NA	8.51232504844666	NA	NA	NA	8.54585838317871	NA
EIF5B	7.03727239025	6.60264593362808	NA	6.75148630142212	NA	NA	NA	6.81062722206116	NA
ELAC2	6.48349335128	6.7152646780014	NA	6.29978406429291	NA	NA	NA	6.40501976013184	NA
ELFN1-AS1	6.29847503474	1.97697073221207	NA	0.409074537456036	NA	NA	NA	0.56627131998539	NA
ELP2	6.49265437102	7.03804820775986	NA	6.2041642665863	NA	NA	NA	6.40858626365662	NA
EMC9	6.04919510562	7.28082996606827	NA	5.80302739143372	NA	NA	NA	5.80250978469849	NA
