Sample	Gene	Cohort	Expression	Threshold	Exceeds threshold	Percent difference	Mean Accuracy	Minimum Accuracy	Maximum Accuracy	Sample 1 Accuracy	Sample 2 Accuracy	Sample 3 Accuracy	Sample 4 Accuracy	Sample 5 Accuracy
TH34_1150_S01	PDCD1	Pan-cancer	5.87184364851	3.23698456585407	TRUE	44.872773193212225	100	100	100	100	100	100	100	100
TH34_1150_S01	PDCD1	Same Disease	5.87184364851	9.38725697994232	FALSE	59.868987355008485	100	100	100	100	100	100	100	100
TH34_1150_S01	PDCD1	Inferred Disease	5.87184364851	9.38725697994232	FALSE	59.868987355008485	100	100	100	100	100	100	100	100
TH34_1150_S01	PDCD1	First Degree	5.87184364851	9.32887244224548	FALSE	58.874673793685105	100	100	100	100	100	100	100	100
TH34_1150_S01	PDCD1	First & Second Degree	5.87184364851	7.23180440068245	FALSE	23.160711244713493	100	100	100	100	100	100	100	100
