expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	0.0018914318138831096	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.0034055503224404027	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	0.003985620506408253	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.004241209130166563	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.004293094666375609	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.01724512716469821	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.014574336829117828	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.017192872772741483	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.01564432802153824	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.0138074522413467	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.030867328454459823	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.03259841373790293	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.028133791809940606	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.027606415792720544	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.028749763571023264	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.03499746395188755	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.04795168449392418	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.043260333127698954	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.04019292604501608	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.04696780243826196	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.04514165640171002	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.05892466395748672	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.04766408170985436	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.05228254164096237	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.05777486720512261	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.058691399173972904	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.07041262894654579	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.0686167503456305	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.06591639871382636	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.06323257248611967	12968	0-1 (n=12968)
(0,1]	24	23185251.405	TH_Eval_016	0.07883486703862039	13801	0-1 (n=13801)
(0,1]	24	23900691.655	TH_Eval_018	0.07480612823907698	10574	0-1 (n=10574)
(0,1]	24	23974325.24	TH_Eval_014	0.08309684930510078	13743	0-1 (n=13743)
(0,1]	24	23990511.24	TH_Eval_019	0.07996607032695867	12968	0-1 (n=12968)
(0,1]	24	23993612.64	TH_Eval_015	0.09010628321350422	12796	0-1 (n=12796)
(0,1]	28	27096721.13	TH_Eval_016	0.09571770161582493	13801	0-1 (n=13801)
(0,1]	28	27976524.66	TH_Eval_014	0.10536273011715055	13743	0-1 (n=13743)
(0,1]	28	27989639.64	TH_Eval_019	0.09901295496607032	12968	0-1 (n=12968)
(0,1]	28	28009172.16	TH_Eval_015	0.11980306345733041	12796	0-1 (n=12796)
(0,1]	28	28144523.23	TH_Eval_018	0.11376962360506904	10574	0-1 (n=10574)
(0,1]	32	30952174.325	TH_Eval_016	0.10049996377074125	13801	0-1 (n=13801)
(0,1]	32	31972725.78	TH_Eval_014	0.10856436003783744	13743	0-1 (n=13743)
(0,1]	32	31990588.2	TH_Eval_019	0.09939851943244911	12968	0-1 (n=12968)
(0,1]	32	31994860.68	TH_Eval_015	0.12355423569865583	12796	0-1 (n=12796)
(0,1]	32	32056015.6	TH_Eval_018	0.10459617930773596	10574	0-1 (n=10574)
(0,1]	36	34734143.3	TH_Eval_016	0.12672994710528224	13801	0-1 (n=13801)
(0,1]	36	35967986.36	TH_Eval_014	0.12391763079385869	13743	0-1 (n=13743)
(0,1]	36	35987718.24	TH_Eval_019	0.1189080814312153	12968	0-1 (n=12968)
(0,1]	36	35998955.75	TH_Eval_018	0.1278607906184982	10574	0-1 (n=10574)
(0,1]	36	35999476.92	TH_Eval_015	0.14770240700218817	12796	0-1 (n=12796)
(0,1]	40	38477743.555	TH_Eval_016	0.16324903992464315	13801	0-1 (n=13801)
(0,1]	40	39959708.44	TH_Eval_018	0.155097408738415	10574	0-1 (n=10574)
(0,1]	40	39962799.63	TH_Eval_014	0.1421087098886706	13743	0-1 (n=13743)
(0,1]	40	39984104.52	TH_Eval_019	0.13972856261566935	12968	0-1 (n=12968)
(0,1]	40	40000910.04	TH_Eval_015	0.18701156611441075	12796	0-1 (n=12796)
(0,1]	44	42709556	TH_Eval_016	0.2152742554887327	13801	0-1 (n=13801)
