expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	0.007754870436920749	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.0106514020723136	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	0.012347608627696155	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.012029611351017891	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.01251546241723059	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.04347511049923919	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.04295188155459593	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.04774929665520475	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.04795168449392418	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.038301494231132965	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.0779653648286356	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.08680782944044241	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.07650828383869959	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.07911782850092536	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.07196898051825232	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.10078979784073618	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.11387615513352252	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.10911474398519433	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.09428787592207301	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.10472022507033447	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.12238243605535831	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.13566739606126915	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.12492907130697939	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.12338062924120913	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.1412355380921196	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.17745090935439461	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.17325726789621756	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.17383395183002257	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.15670512578021562	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.15754164096236892	12968	0-1 (n=12968)
(0,1]	24	23185251.405	TH_Eval_016	0.2134627925512644	13801	0-1 (n=13801)
(0,1]	24	23900691.655	TH_Eval_018	0.16966143370531492	10574	0-1 (n=10574)
(0,1]	24	23974325.24	TH_Eval_014	0.19522666084552134	13743	0-1 (n=13743)
(0,1]	24	23990511.24	TH_Eval_019	0.19609808760024677	12968	0-1 (n=12968)
(0,1]	24	23993612.64	TH_Eval_015	0.20959674898405753	12796	0-1 (n=12796)
(0,1]	28	27096721.13	TH_Eval_016	0.25577856677052385	13801	0-1 (n=13801)
(0,1]	28	27976524.66	TH_Eval_014	0.23291857672997163	13743	0-1 (n=13743)
(0,1]	28	27989639.64	TH_Eval_019	0.22432140653917335	12968	0-1 (n=12968)
(0,1]	28	28009172.16	TH_Eval_015	0.25695529853079085	12796	0-1 (n=12796)
(0,1]	28	28144523.23	TH_Eval_018	0.2236618119916777	10574	0-1 (n=10574)
(0,1]	32	30952174.325	TH_Eval_016	0.248170422433157	13801	0-1 (n=13801)
(0,1]	32	31972725.78	TH_Eval_014	0.23313686967910938	13743	0-1 (n=13743)
(0,1]	32	31990588.2	TH_Eval_019	0.2170727945712523	12968	0-1 (n=12968)
(0,1]	32	31994860.68	TH_Eval_015	0.2579712410128165	12796	0-1 (n=12796)
(0,1]	32	32056015.6	TH_Eval_018	0.2209192358615472	10574	0-1 (n=10574)
(0,1]	36	34734143.3	TH_Eval_016	0.29374682993985946	13801	0-1 (n=13801)
(0,1]	36	35967986.36	TH_Eval_014	0.25649421523684784	13743	0-1 (n=13743)
(0,1]	36	35987718.24	TH_Eval_019	0.24344540407156076	12968	0-1 (n=12968)
(0,1]	36	35998955.75	TH_Eval_018	0.25874787213920936	10574	0-1 (n=10574)
(0,1]	36	35999476.92	TH_Eval_015	0.3012660206314473	12796	0-1 (n=12796)
(0,1]	40	38477743.555	TH_Eval_016	0.32888921092674445	13801	0-1 (n=13801)
(0,1]	40	39959708.44	TH_Eval_018	0.2872139209381502	10574	0-1 (n=10574)
(0,1]	40	39962799.63	TH_Eval_014	0.27344830095321254	13743	0-1 (n=13743)
(0,1]	40	39984104.52	TH_Eval_019	0.2637260950030845	12968	0-1 (n=12968)
(0,1]	40	40000910.04	TH_Eval_015	0.3395592372616443	12796	0-1 (n=12796)
(0,1]	44	42709556	TH_Eval_016	0.4174335193101949	13801	0-1 (n=13801)
(0,1]	44	43943899.52	TH_Eval_018	0.40836012861736337	10574	0-1 (n=10574)
(0,1]	44	43964723.12	TH_Eval_014	0.3597467801790002	13743	0-1 (n=13743)
(0,1]	44	43982804.16	TH_Eval_019	0.35633867982726714	12968	0-1 (n=12968)
(0,1]	44	43994414.88	TH_Eval_015	0.49148171303532356	12796	0-1 (n=12796)
(0,1]	48	47948681.84	TH_Eval_018	1	10574	0-1 (n=10574)
(0,1]	48	47973977	TH_Eval_014	1	13743	0-1 (n=13743)
(0,1]	48	47987492.4	TH_Eval_019	1	12968	0-1 (n=12968)
(0,1]	48	47989150.56	TH_Eval_015	1	12796	0-1 (n=12796)
(0,1]	48	48260261.2	TH_Eval_016	1	13801	0-1 (n=13801)
(1,3]	0	897386.4	TH_Eval_018	0.2068819031435854	4708	1-3 (n=4708)
(1,3]	0	964752.75	TH_Eval_016	0.20823209947120194	6997	1-3 (n=6997)
(1,3]	0	966290.05	TH_Eval_015	0.25	5620	1-3 (n=5620)
(1,3]	0	968801.745	TH_Eval_019	0.22468239564428313	5510	1-3 (n=5510)
(1,3]	0	969044.31	TH_Eval_014	0.26813050873666305	6467	1-3 (n=6467)
(1,3]	4	3850360.41	TH_Eval_016	0.40717450335858224	6997	1-3 (n=6997)
(1,3]	4	3989494.615	TH_Eval_019	0.4497277676950998	5510	1-3 (n=5510)
(1,3]	4	4006874.005	TH_Eval_015	0.4724199288256228	5620	1-3 (n=5620)
(1,3]	4	4022359.965	TH_Eval_014	0.4903355497139323	6467	1-3 (n=6467)
(1,3]	4	4038616.96	TH_Eval_018	0.42778249787595585	4708	1-3 (n=4708)
(1,3]	8	7754740.725	TH_Eval_016	0.5282263827354581	6997	1-3 (n=6997)
(1,3]	8	7973217.99	TH_Eval_014	0.6177516622854492	6467	1-3 (n=6467)
(1,3]	8	8017311.505	TH_Eval_015	0.6005338078291815	5620	1-3 (n=5620)
(1,3]	8	8032662	TH_Eval_019	0.5827586206896552	5510	1-3 (n=5510)
(1,3]	8	8047283.115	TH_Eval_018	0.5669073916737468	4708	1-3 (n=4708)
(1,3]	12	11590923.45	TH_Eval_016	0.6055452336715735	6997	1-3 (n=6997)
(1,3]	12	11889324.99	TH_Eval_014	0.6925931653007577	6467	1-3 (n=6467)
(1,3]	12	12000172.32	TH_Eval_019	0.6544464609800363	5510	1-3 (n=5510)
(1,3]	12	12007425.805	TH_Eval_018	0.6499575191163977	4708	1-3 (n=4708)
(1,3]	12	12047860.87	TH_Eval_015	0.6916370106761566	5620	1-3 (n=5620)
(1,3]	16	15450346	TH_Eval_016	0.6771473488637988	6997	1-3 (n=6997)
(1,3]	16	15906303	TH_Eval_015	0.7519572953736655	5620	1-3 (n=5620)
(1,3]	16	15987080.665	TH_Eval_018	0.6998725573491928	4708	1-3 (n=4708)
(1,3]	16	15988293	TH_Eval_019	0.7148820326678766	5510	1-3 (n=5510)
(1,3]	16	15997868.72	TH_Eval_014	0.7394464202876141	6467	1-3 (n=6467)
(1,3]	20	19318564.015	TH_Eval_016	0.7231670716021152	6997	1-3 (n=6997)
(1,3]	20	19958188.32	TH_Eval_015	0.7927046263345195	5620	1-3 (n=5620)
(1,3]	20	19974189.76	TH_Eval_014	0.7844441008195454	6467	1-3 (n=6467)
(1,3]	20	19977471.635	TH_Eval_018	0.7587085811384877	4708	1-3 (n=4708)
(1,3]	20	19990852.56	TH_Eval_019	0.7539019963702359	5510	1-3 (n=5510)
(1,3]	24	23185251.405	TH_Eval_016	0.7793340002858368	6997	1-3 (n=6997)
(1,3]	24	23900691.655	TH_Eval_018	0.7912064570943076	4708	1-3 (n=4708)
(1,3]	24	23974325.24	TH_Eval_014	0.8099582495747641	6467	1-3 (n=6467)
(1,3]	24	23990511.24	TH_Eval_019	0.7938294010889292	5510	1-3 (n=5510)
(1,3]	24	23993612.64	TH_Eval_015	0.8281138790035587	5620	1-3 (n=5620)
(1,3]	28	27096721.13	TH_Eval_016	0.8210661712162355	6997	1-3 (n=6997)
(1,3]	28	27976524.66	TH_Eval_014	0.8289778877377455	6467	1-3 (n=6467)
(1,3]	28	27989639.64	TH_Eval_019	0.8206896551724138	5510	1-3 (n=5510)
(1,3]	28	28009172.16	TH_Eval_015	0.8603202846975089	5620	1-3 (n=5620)
(1,3]	28	28144523.23	TH_Eval_018	0.8211554800339848	4708	1-3 (n=4708)
(1,3]	32	30952174.325	TH_Eval_016	0.8499356867228812	6997	1-3 (n=6997)
(1,3]	32	31972725.78	TH_Eval_014	0.8524818308334622	6467	1-3 (n=6467)
(1,3]	32	31990588.2	TH_Eval_019	0.8379310344827586	5510	1-3 (n=5510)
(1,3]	32	31994860.68	TH_Eval_015	0.8905693950177936	5620	1-3 (n=5620)
(1,3]	32	32056015.6	TH_Eval_018	0.85089209855565	4708	1-3 (n=4708)
(1,3]	36	34734143.3	TH_Eval_016	0.8812348149206803	6997	1-3 (n=6997)
(1,3]	36	35967986.36	TH_Eval_014	0.870728312973558	6467	1-3 (n=6467)
(1,3]	36	35987718.24	TH_Eval_019	0.8573502722323049	5510	1-3 (n=5510)
(1,3]	36	35998955.75	TH_Eval_018	0.8785046728971962	4708	1-3 (n=4708)
(1,3]	36	35999476.92	TH_Eval_015	0.9142348754448398	5620	1-3 (n=5620)
(1,3]	40	38477743.555	TH_Eval_016	0.9136772902672574	6997	1-3 (n=6997)
(1,3]	40	39959708.44	TH_Eval_018	0.8959218351741717	4708	1-3 (n=4708)
(1,3]	40	39962799.63	TH_Eval_014	0.883562702953456	6467	1-3 (n=6467)
(1,3]	40	39984104.52	TH_Eval_019	0.880399274047187	5510	1-3 (n=5510)
(1,3]	40	40000910.04	TH_Eval_015	0.9352313167259787	5620	1-3 (n=5620)
(1,3]	44	42709556	TH_Eval_016	0.9532656852936973	6997	1-3 (n=6997)
(1,3]	44	43943899.52	TH_Eval_018	0.9194987255734919	4708	1-3 (n=4708)
(1,3]	44	43964723.12	TH_Eval_014	0.9053657027988248	6467	1-3 (n=6467)
(1,3]	44	43982804.16	TH_Eval_019	0.8925589836660617	5510	1-3 (n=5510)
(1,3]	44	43994414.88	TH_Eval_015	0.952491103202847	5620	1-3 (n=5620)
(1,3]	48	47948681.84	TH_Eval_018	1	4708	1-3 (n=4708)
(1,3]	48	47973977	TH_Eval_014	1	6467	1-3 (n=6467)
(1,3]	48	47987492.4	TH_Eval_019	1	5510	1-3 (n=5510)
(1,3]	48	47989150.56	TH_Eval_015	1	5620	1-3 (n=5620)
(1,3]	48	48260261.2	TH_Eval_016	1	6997	1-3 (n=6997)
(3,5]	0	897386.4	TH_Eval_018	0.632579185520362	5525	3-5 (n=5525)
(3,5]	0	964752.75	TH_Eval_016	0.6593935504572437	6233	3-5 (n=6233)
(3,5]	0	966290.05	TH_Eval_015	0.6996783477230405	5907	3-5 (n=5907)
(3,5]	0	968801.745	TH_Eval_019	0.6946940159349042	5899	3-5 (n=5899)
(3,5]	0	969044.31	TH_Eval_014	0.7259766709868543	5401	3-5 (n=5401)
(3,5]	4	3850360.41	TH_Eval_016	0.8801540189314937	6233	3-5 (n=6233)
(3,5]	4	3989494.615	TH_Eval_019	0.9093066621461264	5899	3-5 (n=5899)
(3,5]	4	4006874.005	TH_Eval_015	0.9194176400880312	5907	3-5 (n=5907)
(3,5]	4	4022359.965	TH_Eval_014	0.9183484539900019	5401	3-5 (n=5401)
(3,5]	4	4038616.96	TH_Eval_018	0.8823529411764706	5525	3-5 (n=5525)
(3,5]	8	7754740.725	TH_Eval_016	0.9481790470078614	6233	3-5 (n=6233)
(3,5]	8	7973217.99	TH_Eval_014	0.9690798000370302	5401	3-5 (n=5401)
(3,5]	8	8017311.505	TH_Eval_015	0.9673269002877941	5907	3-5 (n=5907)
(3,5]	8	8032662	TH_Eval_019	0.9637226648584506	5899	3-5 (n=5899)
(3,5]	8	8047283.115	TH_Eval_018	0.9500452488687783	5525	3-5 (n=5525)
(3,5]	12	11590923.45	TH_Eval_016	0.9683940317664046	6233	3-5 (n=6233)
(3,5]	12	11889324.99	TH_Eval_014	0.9796334012219959	5401	3-5 (n=5401)
(3,5]	12	12000172.32	TH_Eval_019	0.9793185285641635	5899	3-5 (n=5899)
(3,5]	12	12007425.805	TH_Eval_018	0.9732126696832579	5525	3-5 (n=5525)
(3,5]	12	12047860.87	TH_Eval_015	0.9823937701032673	5907	3-5 (n=5907)
(3,5]	16	15450346	TH_Eval_016	0.9797850152414568	6233	3-5 (n=6233)
(3,5]	16	15906303	TH_Eval_015	0.9876417809378704	5907	3-5 (n=5907)
(3,5]	16	15987080.665	TH_Eval_018	0.9835294117647059	5525	3-5 (n=5525)
(3,5]	16	15988293	TH_Eval_019	0.986946940159349	5899	3-5 (n=5899)
