expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	0.007187440892755816	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.010216650967321208	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	0.01164426383244764	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.01095003084515731	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.011569526304300371	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.0410115209042823	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.039250462677359654	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.04524851516098781	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.043804118460307066	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.0354643465103083	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.07289326860372437	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.08185985592665357	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.07072522663332291	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.07456816779765577	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.06657839984868545	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.09405115571335411	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.1068180164447355	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.10232880937692783	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.08795157934556459	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.09831197249140357	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.1101369465980726	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.12691466083150985	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.11698505768867032	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.11374151758173967	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.13017536200247398	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.16600246358959495	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.16294154423257268	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.16357418322054865	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.14705882352941177	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.14790252930289943	12968	0-1 (n=12968)
(0,1]	24	23185251.405	TH_Eval_016	0.19773929425403955	13801	0-1 (n=13801)
