expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	3.782863627766219e-4	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.0013042533149771756	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	7.814942169427947e-4	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.0011566933991363356	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.0010187004293094667	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.004492428084921382	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.004935225169648365	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.0061738043138480775	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.005821145310339809	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.005674295441649328	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.009564524309832621	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.01433457032671178	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.012660206314473272	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.010641579272054287	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.015131454511064877	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.0142743279472502	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.023211816924979988	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.021437384330660086	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.02052203518063174	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.02305407939981244	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.019273965654662707	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.03532353860581432	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.025818044259504444	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.02891733497840839	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.030269955613767007	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.027679153684515616	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.04298218193185371	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.03645492250600305	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.03867978059390959	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.03616594694632943	12968	0-1 (n=12968)
(0,1]	24	23185251.405	TH_Eval_016	0.03833055575682921	13801	0-1 (n=13801)
(0,1]	24	23900691.655	TH_Eval_018	0.04558350671458294	10574	0-1 (n=10574)
(0,1]	24	23974325.24	TH_Eval_014	0.049261442188750636	13743	0-1 (n=13743)
(0,1]	24	23990511.24	TH_Eval_019	0.04904380012338063	12968	0-1 (n=12968)
(0,1]	24	23993612.64	TH_Eval_015	0.0582213191622382	12796	0-1 (n=12796)
(0,1]	28	27096721.13	TH_Eval_016	0.05151800594159844	13801	0-1 (n=13801)
(0,1]	28	27976524.66	TH_Eval_014	0.06956268645856072	13743	0-1 (n=13743)
(0,1]	28	27989639.64	TH_Eval_019	0.0635410240592227	12968	0-1 (n=12968)
(0,1]	28	28009172.16	TH_Eval_015	0.0791653641763051	12796	0-1 (n=12796)
(0,1]	28	28144523.23	TH_Eval_018	0.07026669188575752	10574	0-1 (n=10574)
(0,1]	32	30952174.325	TH_Eval_016	0.047098036374175783	13801	0-1 (n=13801)
(0,1]	32	31972725.78	TH_Eval_014	0.06614276358873608	13743	0-1 (n=13743)
(0,1]	32	31990588.2	TH_Eval_019	0.06014805675508945	12968	0-1 (n=12968)
(0,1]	32	31994860.68	TH_Eval_015	0.07674273210378244	12796	0-1 (n=12796)
(0,1]	32	32056015.6	TH_Eval_018	0.06279553622091924	10574	0-1 (n=10574)
(0,1]	36	34734143.3	TH_Eval_016	0.06202449097891457	13801	0-1 (n=13801)
(0,1]	36	35967986.36	TH_Eval_014	0.0779305828421742	13743	0-1 (n=13743)
(0,1]	36	35987718.24	TH_Eval_019	0.07541640962368908	12968	0-1 (n=12968)
(0,1]	36	35998955.75	TH_Eval_018	0.07962927936447892	10574	0-1 (n=10574)
(0,1]	36	35999476.92	TH_Eval_015	0.10018755861206627	12796	0-1 (n=12796)
(0,1]	40	38477743.555	TH_Eval_016	0.0858633432359974	13801	0-1 (n=13801)
(0,1]	40	39959708.44	TH_Eval_018	0.10261017590315868	10574	0-1 (n=10574)
(0,1]	40	39962799.63	TH_Eval_014	0.09117368842319726	13743	0-1 (n=13743)
(0,1]	40	39984104.52	TH_Eval_019	0.0924583590376311	12968	0-1 (n=12968)
(0,1]	40	40000910.04	TH_Eval_015	0.12793060331353548	12796	0-1 (n=12796)
(0,1]	44	42709556	TH_Eval_016	0.12528077675530758	13801	0-1 (n=13801)
(0,1]	44	43943899.52	TH_Eval_018	0.147815396254965	10574	0-1 (n=10574)
(0,1]	44	43964723.12	TH_Eval_014	0.13243105581023065	13743	0-1 (n=13743)
(0,1]	44	43982804.16	TH_Eval_019	0.13124614435533621	12968	0-1 (n=12968)
(0,1]	44	43994414.88	TH_Eval_015	0.1917786808377618	12796	0-1 (n=12796)
(0,1]	48	47948681.84	TH_Eval_018	1	10574	0-1 (n=10574)
(0,1]	48	47973977	TH_Eval_014	1	13743	0-1 (n=13743)
(0,1]	48	47987492.4	TH_Eval_019	1	12968	0-1 (n=12968)
(0,1]	48	47989150.56	TH_Eval_015	1	12796	0-1 (n=12796)
(0,1]	48	48260261.2	TH_Eval_016	1	13801	0-1 (n=13801)
(1,3]	0	897386.4	TH_Eval_018	0.005097706032285472	4708	1-3 (n=4708)
(1,3]	0	964752.75	TH_Eval_016	0.005859654137487494	6997	1-3 (n=6997)
(1,3]	0	966290.05	TH_Eval_015	0.009430604982206405	5620	1-3 (n=5620)
(1,3]	0	968801.745	TH_Eval_019	0.005989110707803993	5510	1-3 (n=5510)
(1,3]	0	969044.31	TH_Eval_014	0.01097881552497294	6467	1-3 (n=6467)
(1,3]	4	3850360.41	TH_Eval_016	0.013720165785336573	6997	1-3 (n=6997)
(1,3]	4	3989494.615	TH_Eval_019	0.016696914700544463	5510	1-3 (n=5510)
(1,3]	4	4006874.005	TH_Eval_015	0.01725978647686833	5620	1-3 (n=5620)
(1,3]	4	4022359.965	TH_Eval_014	0.018865006958404207	6467	1-3 (n=6467)
(1,3]	4	4038616.96	TH_Eval_018	0.014231096006796942	4708	1-3 (n=4708)
(1,3]	8	7754740.725	TH_Eval_016	0.019722738316421323	6997	1-3 (n=6997)
(1,3]	8	7973217.99	TH_Eval_014	0.02752435441472089	6467	1-3 (n=6467)
(1,3]	8	8017311.505	TH_Eval_015	0.021886120996441282	5620	1-3 (n=5620)
(1,3]	8	8032662	TH_Eval_019	0.025771324863883848	5510	1-3 (n=5510)
(1,3]	8	8047283.115	TH_Eval_018	0.0237892948173322	4708	1-3 (n=4708)
(1,3]	12	11590923.45	TH_Eval_016	0.023295698156352723	6997	1-3 (n=6997)
(1,3]	12	11889324.99	TH_Eval_014	0.03587443946188341	6467	1-3 (n=6467)
(1,3]	12	12000172.32	TH_Eval_019	0.03212341197822142	5510	1-3 (n=5510)
