expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	0.006525439757896728	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.009129773204840229	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	0.010784620193810567	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.009099321406539173	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.010187004293094666	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.03615680023186726	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.034392350400987044	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.03923100969052829	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.03921996652841447	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.031681482882542085	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.06564741685385117	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.07523830313614203	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.06244138793372929	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.06662553979025293	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.05929638736523549	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.08615317730599233	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.09663101215164084	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.09338371375694016	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.07953470777378475	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.08916849015317287	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.09492065792333888	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.1122225695529853	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.10525818044259505	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.10155768044417027	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.11576802735938296	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.14940946308238534	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.14668646452016254	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.14785709088263116	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.13325137128806505	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.13325107958050586	12968	0-1 (n=12968)
(0,1]	24	23185251.405	TH_Eval_016	0.16694442431707848	13801	0-1 (n=13801)
(0,1]	24	23900691.655	TH_Eval_018	0.1406279553622092	10574	0-1 (n=10574)
(0,1]	24	23974325.24	TH_Eval_014	0.15811685949210508	13743	0-1 (n=13743)
(0,1]	24	23990511.24	TH_Eval_019	0.1593152375077113	12968	0-1 (n=12968)
(0,1]	24	23993612.64	TH_Eval_015	0.1705220381369178	12796	0-1 (n=12796)
(0,1]	28	27096721.13	TH_Eval_016	0.22309977537859577	13801	0-1 (n=13801)
(0,1]	28	27976524.66	TH_Eval_014	0.2015571563705159	13743	0-1 (n=13743)
(0,1]	28	27989639.64	TH_Eval_019	0.19363047501542258	12968	0-1 (n=12968)
(0,1]	28	28009172.16	TH_Eval_015	0.22600812753985622	12796	0-1 (n=12796)
(0,1]	28	28144523.23	TH_Eval_018	0.19803291091356157	10574	0-1 (n=10574)
(0,1]	32	30952174.325	TH_Eval_016	0.2138975436562568	13801	0-1 (n=13801)
(0,1]	32	31972725.78	TH_Eval_014	0.20279414974896312	13743	0-1 (n=13743)
(0,1]	32	31990588.2	TH_Eval_019	0.1873072177668106	12968	0-1 (n=12968)
(0,1]	32	31994860.68	TH_Eval_015	0.22553923100969053	12796	0-1 (n=12796)
(0,1]	32	32056015.6	TH_Eval_018	0.18857575184414602	10574	0-1 (n=10574)
(0,1]	36	34734143.3	TH_Eval_016	0.2559234838055213	13801	0-1 (n=13801)
(0,1]	36	35967986.36	TH_Eval_014	0.22353197991704868	13743	0-1 (n=13743)
(0,1]	36	35987718.24	TH_Eval_019	0.2141425046267736	12968	0-1 (n=12968)
(0,1]	36	35998955.75	TH_Eval_018	0.22753924721013807	10574	0-1 (n=10574)
(0,1]	36	35999476.92	TH_Eval_015	0.2650828383869959	12796	0-1 (n=12796)
(0,1]	40	38477743.555	TH_Eval_016	0.29447141511484676	13801	0-1 (n=13801)
(0,1]	40	39959708.44	TH_Eval_018	0.2519387176092302	10574	0-1 (n=10574)
(0,1]	40	39962799.63	TH_Eval_014	0.2412864731135851	13743	0-1 (n=13743)
(0,1]	40	39984104.52	TH_Eval_019	0.23342072794571253	12968	0-1 (n=12968)
(0,1]	40	40000910.04	TH_Eval_015	0.30572053766802126	12796	0-1 (n=12796)
(0,1]	44	42709556	TH_Eval_016	0.3462792551264401	13801	0-1 (n=13801)
(0,1]	44	43943899.52	TH_Eval_018	0.3344997162852279	10574	0-1 (n=10574)
(0,1]	44	43964723.12	TH_Eval_014	0.30248126318853236	13743	0-1 (n=13743)
(0,1]	44	43982804.16	TH_Eval_019	0.29827267119062306	12968	0-1 (n=12968)
(0,1]	44	43994414.88	TH_Eval_015	0.41239449828071273	12796	0-1 (n=12796)
(0,1]	48	47948681.84	TH_Eval_018	1	10574	0-1 (n=10574)
(0,1]	48	47973977	TH_Eval_014	1	13743	0-1 (n=13743)
(0,1]	48	47987492.4	TH_Eval_019	1	12968	0-1 (n=12968)
(0,1]	48	47989150.56	TH_Eval_015	1	12796	0-1 (n=12796)
(0,1]	48	48260261.2	TH_Eval_016	1	13801	0-1 (n=13801)
(1,3]	0	897386.4	TH_Eval_018	0.1735344095157179	4708	1-3 (n=4708)
(1,3]	0	964752.75	TH_Eval_016	0.173645848220666	6997	1-3 (n=6997)
(1,3]	0	966290.05	TH_Eval_015	0.21334519572953736	5620	1-3 (n=5620)
(1,3]	0	968801.745	TH_Eval_019	0.18493647912885663	5510	1-3 (n=5510)
(1,3]	0	969044.31	TH_Eval_014	0.23148291325189424	6467	1-3 (n=6467)
(1,3]	4	3850360.41	TH_Eval_016	0.3525796770044305	6997	1-3 (n=6997)
(1,3]	4	3989494.615	TH_Eval_019	0.39219600725952813	5510	1-3 (n=5510)
(1,3]	4	4006874.005	TH_Eval_015	0.40693950177935945	5620	1-3 (n=5620)
(1,3]	4	4022359.965	TH_Eval_014	0.43173032317921756	6467	1-3 (n=6467)
(1,3]	4	4038616.96	TH_Eval_018	0.3702209005947324	4708	1-3 (n=4708)
(1,3]	8	7754740.725	TH_Eval_016	0.4651993711590682	6997	1-3 (n=6997)
(1,3]	8	7973217.99	TH_Eval_014	0.5576001237049637	6467	1-3 (n=6467)
(1,3]	8	8017311.505	TH_Eval_015	0.541814946619217	5620	1-3 (n=5620)
(1,3]	8	8032662	TH_Eval_019	0.5125226860254084	5510	1-3 (n=5510)
(1,3]	8	8047283.115	TH_Eval_018	0.4949022939677145	4708	1-3 (n=4708)
(1,3]	12	11590923.45	TH_Eval_016	0.5423753037015864	6997	1-3 (n=6997)
(1,3]	12	11889324.99	TH_Eval_014	0.6315138394928097	6467	1-3 (n=6467)
(1,3]	12	12000172.32	TH_Eval_019	0.5921960072595281	5510	1-3 (n=5510)
(1,3]	12	12007425.805	TH_Eval_018	0.5851741716227697	4708	1-3 (n=4708)
(1,3]	12	12047860.87	TH_Eval_015	0.6314946619217082	5620	1-3 (n=5620)
(1,3]	16	15450346	TH_Eval_016	0.6111190510218665	6997	1-3 (n=6997)
(1,3]	16	15906303	TH_Eval_015	0.6914590747330961	5620	1-3 (n=5620)
(1,3]	16	15987080.665	TH_Eval_018	0.6382752761257434	4708	1-3 (n=4708)
(1,3]	16	15988293	TH_Eval_019	0.6553539019963702	5510	1-3 (n=5510)
(1,3]	16	15997868.72	TH_Eval_014	0.6822328745940931	6467	1-3 (n=6467)
(1,3]	20	19318564.015	TH_Eval_016	0.6631413462912676	6997	1-3 (n=6997)
(1,3]	20	19958188.32	TH_Eval_015	0.7362989323843416	5620	1-3 (n=5620)
(1,3]	20	19974189.76	TH_Eval_014	0.7276944487397556	6467	1-3 (n=6467)
(1,3]	20	19977471.635	TH_Eval_018	0.7026338147833475	4708	1-3 (n=4708)
(1,3]	20	19990852.56	TH_Eval_019	0.6936479128856624	5510	1-3 (n=5510)
(1,3]	24	23185251.405	TH_Eval_016	0.7291696441332	6997	1-3 (n=6997)
(1,3]	24	23900691.655	TH_Eval_018	0.737892948173322	4708	1-3 (n=4708)
(1,3]	24	23974325.24	TH_Eval_014	0.765424462656564	6467	1-3 (n=6467)
(1,3]	24	23990511.24	TH_Eval_019	0.7408348457350272	5510	1-3 (n=5510)
(1,3]	24	23993612.64	TH_Eval_015	0.7854092526690392	5620	1-3 (n=5620)
(1,3]	28	27096721.13	TH_Eval_016	0.7703301414892096	6997	1-3 (n=6997)
(1,3]	28	27976524.66	TH_Eval_014	0.7808875831142724	6467	1-3 (n=6467)
(1,3]	28	27989639.64	TH_Eval_019	0.7680580762250454	5510	1-3 (n=5510)
(1,3]	28	28009172.16	TH_Eval_015	0.8201067615658363	5620	1-3 (n=5620)
(1,3]	28	28144523.23	TH_Eval_018	0.7737892948173322	4708	1-3 (n=4708)
(1,3]	32	30952174.325	TH_Eval_016	0.8056309847077319	6997	1-3 (n=6997)
(1,3]	32	31972725.78	TH_Eval_014	0.8110406680068037	6467	1-3 (n=6467)
(1,3]	32	31990588.2	TH_Eval_019	0.7858439201451906	5510	1-3 (n=5510)
(1,3]	32	31994860.68	TH_Eval_015	0.8482206405693951	5620	1-3 (n=5620)
(1,3]	32	32056015.6	TH_Eval_018	0.8090484282073067	4708	1-3 (n=4708)
(1,3]	36	34734143.3	TH_Eval_016	0.8429326854366157	6997	1-3 (n=6997)
(1,3]	36	35967986.36	TH_Eval_014	0.8312973558064017	6467	1-3 (n=6467)
(1,3]	36	35987718.24	TH_Eval_019	0.8147005444646098	5510	1-3 (n=5510)
(1,3]	36	35998955.75	TH_Eval_018	0.832625318606627	4708	1-3 (n=4708)
(1,3]	36	35999476.92	TH_Eval_015	0.8846975088967971	5620	1-3 (n=5620)
(1,3]	40	38477743.555	TH_Eval_016	0.8833785908246391	6997	1-3 (n=6997)
(1,3]	40	39959708.44	TH_Eval_018	0.8602378929481733	4708	1-3 (n=4708)
(1,3]	40	39962799.63	TH_Eval_014	0.8444410081954539	6467	1-3 (n=6467)
(1,3]	40	39984104.52	TH_Eval_019	0.8372050816696914	5510	1-3 (n=5510)
(1,3]	40	40000910.04	TH_Eval_015	0.9083629893238434	5620	1-3 (n=5620)
(1,3]	44	42709556	TH_Eval_016	0.916821494926397	6997	1-3 (n=6997)
(1,3]	44	43943899.52	TH_Eval_018	0.8880628717077316	4708	1-3 (n=4708)
(1,3]	44	43964723.12	TH_Eval_014	0.8704190505644039	6467	1-3 (n=6467)
(1,3]	44	43982804.16	TH_Eval_019	0.8588021778584392	5510	1-3 (n=5510)
(1,3]	44	43994414.88	TH_Eval_015	0.9309608540925267	5620	1-3 (n=5620)
(1,3]	48	47948681.84	TH_Eval_018	1	4708	1-3 (n=4708)
(1,3]	48	47973977	TH_Eval_014	1	6467	1-3 (n=6467)
(1,3]	48	47987492.4	TH_Eval_019	1	5510	1-3 (n=5510)
(1,3]	48	47989150.56	TH_Eval_015	1	5620	1-3 (n=5620)
(1,3]	48	48260261.2	TH_Eval_016	1	6997	1-3 (n=6997)
(3,5]	0	897386.4	TH_Eval_018	0.5596380090497738	5525	3-5 (n=5525)
(3,5]	0	964752.75	TH_Eval_016	0.5825445210973849	6233	3-5 (n=6233)
(3,5]	0	966290.05	TH_Eval_015	0.6265447773827663	5907	3-5 (n=5907)
(3,5]	0	968801.745	TH_Eval_019	0.6179013392100356	5899	3-5 (n=5899)
(3,5]	0	969044.31	TH_Eval_014	0.6517311608961304	5401	3-5 (n=5401)
(3,5]	4	3850360.41	TH_Eval_016	0.8336274667094496	6233	3-5 (n=6233)
(3,5]	4	3989494.615	TH_Eval_019	0.8704865231395151	5899	3-5 (n=5899)
(3,5]	4	4006874.005	TH_Eval_015	0.877602844083291	5907	3-5 (n=5907)
(3,5]	4	4022359.965	TH_Eval_014	0.88224402888354	5401	3-5 (n=5401)
(3,5]	4	4038616.96	TH_Eval_018	0.831131221719457	5525	3-5 (n=5525)
(3,5]	8	7754740.725	TH_Eval_016	0.9237927161880315	6233	3-5 (n=6233)
(3,5]	8	7973217.99	TH_Eval_014	0.9518607665247176	5401	3-5 (n=5401)
(3,5]	8	8017311.505	TH_Eval_015	0.9456576942610462	5907	3-5 (n=5907)
(3,5]	8	8032662	TH_Eval_019	0.9440583149686388	5899	3-5 (n=5899)
(3,5]	8	8047283.115	TH_Eval_018	0.9209049773755656	5525	3-5 (n=5525)
(3,5]	12	11590923.45	TH_Eval_016	0.9526712658430933	6233	3-5 (n=6233)
(3,5]	12	11889324.99	TH_Eval_014	0.9687094982410664	5401	3-5 (n=5401)
(3,5]	12	12000172.32	TH_Eval_019	0.9684692320732328	5899	3-5 (n=5899)
(3,5]	12	12007425.805	TH_Eval_018	0.9551131221719457	5525	3-5 (n=5525)
(3,5]	12	12047860.87	TH_Eval_015	0.9749449805315727	5907	3-5 (n=5907)
(3,5]	16	15450346	TH_Eval_016	0.9704797047970479	6233	3-5 (n=6233)
(3,5]	16	15906303	TH_Eval_015	0.9818858980870154	5907	3-5 (n=5907)
(3,5]	16	15987080.665	TH_Eval_018	0.9728506787330317	5525	3-5 (n=5525)
(3,5]	16	15988293	TH_Eval_019	0.9803356501101882	5899	3-5 (n=5899)
(3,5]	16	15997868.72	TH_Eval_014	0.9787076467320867	5401	3-5 (n=5401)
(3,5]	20	19318564.015	TH_Eval_016	0.976736723888978	6233	3-5 (n=6233)
(3,5]	20	19958188.32	TH_Eval_015	0.9873031995937024	5907	3-5 (n=5907)
(3,5]	20	19974189.76	TH_Eval_014	0.9853730790594334	5401	3-5 (n=5401)
(3,5]	20	19977471.635	TH_Eval_018	0.9819004524886877	5525	3-5 (n=5525)
(3,5]	20	19990852.56	TH_Eval_019	0.9855907780979827	5899	3-5 (n=5899)
(3,5]	24	23185251.405	TH_Eval_016	0.984116797689716	6233	3-5 (n=6233)
(3,5]	24	23900691.655	TH_Eval_018	0.9846153846153847	5525	3-5 (n=5525)
(3,5]	24	23974325.24	TH_Eval_014	0.9866691353453064	5401	3-5 (n=5401)
(3,5]	24	23990511.24	TH_Eval_019	0.9879640617053738	5899	3-5 (n=5899)
(3,5]	24	23993612.64	TH_Eval_015	0.9905197223632978	5907	3-5 (n=5907)
(3,5]	28	27096721.13	TH_Eval_016	0.986362907107332	6233	3-5 (n=6233)
(3,5]	28	27976524.66	TH_Eval_014	0.9892612479170524	5401	3-5 (n=5401)
(3,5]	28	27989639.64	TH_Eval_019	0.9915239871164604	5899	3-5 (n=5899)
(3,5]	28	28009172.16	TH_Eval_015	0.9923819197562215	5907	3-5 (n=5907)
(3,5]	28	28144523.23	TH_Eval_018	0.9891402714932127	5525	3-5 (n=5525)
(3,5]	32	30952174.325	TH_Eval_016	0.9890903256858655	6233	3-5 (n=6233)
(3,5]	32	31972725.78	TH_Eval_014	0.9918533604887984	5401	3-5 (n=5401)
(3,5]	32	31990588.2	TH_Eval_019	0.991863027631802	5899	3-5 (n=5899)
(3,5]	32	31994860.68	TH_Eval_015	0.9942441171491451	5907	3-5 (n=5907)
